Data Set 10:Time(s),Data Set 10:615 nm,Data Set 10:525 nm,Data Set 10:465 nm
7.20,0.000000,3.669645,24.707600
7.25,0.000000,3.669645,24.707600
7.30,0.000000,3.669645,24.707600
7.35,0.000000,3.669645,24.707600
7.40,0.000000,3.669645,24.707600
7.45,0.000000,3.669645,24.707600
7.50,0.000000,3.885507,23.113562
7.55,0.000000,3.885507,23.113562
7.60,0.000000,3.669645,24.707600
7.65,0.000000,3.669645,24.707600
7.70,0.000000,3.669645,24.707600
7.75,0.000000,3.669645,24.707600
7.80,0.000000,4.101368,25.504620
7.85,0.000000,4.101368,25.504620
7.90,0.000000,4.101368,25.504620
7.95,0.000000,4.101368,25.504620
8.00,0.000000,4.964815,25.106110
8.05,0.000000,4.964815,25.106110
8.10,0.000000,4.101368,25.504620
8.15,0.000000,4.101368,25.504620
8.20,0.000000,4.748952,26.700148
8.25,0.000000,4.748952,26.700148
8.30,0.168738,4.533091,26.301638
8.35,0.168738,4.533091,26.301638
8.40,0.000000,4.964815,29.091208
8.45,0.000000,4.964815,29.091208
8.50,0.000000,4.964815,29.091208
8.55,0.000000,4.964815,29.091208
8.60,0.000000,5.396537,29.888226
8.65,0.000000,5.396537,29.888226
8.70,0.000000,5.180676,31.482264
8.75,0.000000,5.180676,31.482264
8.80,0.000000,5.396537,29.888226
8.85,0.000000,5.396537,29.888226
8.90,0.337476,5.828260,30.685244
8.95,0.337476,5.828260,30.685244
9.00,0.337476,5.828260,30.685244
9.05,0.337476,5.828260,30.685244
9.10,0.000000,5.396537,29.888226
9.15,0.000000,5.396537,29.888226
9.20,0.000000,5.396537,29.888226
9.25,0.000000,5.396537,29.888226
9.30,0.337476,5.828260,30.685244
9.35,0.337476,5.828260,30.685244
9.40,0.337476,5.828260,30.685244
9.45,0.337476,5.828260,30.685244
9.50,0.000000,6.259984,29.489716
9.55,0.000000,6.259984,29.489716
9.60,0.000000,5.396537,29.888226
9.65,0.000000,5.396537,29.888226
9.70,0.168738,5.612399,28.294186
9.75,0.168738,5.612399,28.294186
9.80,0.506214,6.044122,29.091208
9.85,0.506214,6.044122,29.091208
9.90,0.506214,6.044122,29.091208
9.95,0.506214,6.044122,29.091208
10.00,0.674952,6.259984,27.497168
10.05,0.674952,6.259984,27.497168
10.10,0.506214,6.044122,29.091208
10.15,0.506214,6.044122,29.091208
10.20,0.674952,6.259984,27.497168
10.25,0.674952,6.259984,27.497168
10.30,0.674952,6.259984,27.497168
10.35,0.674952,6.259984,27.497168
10.40,0.168738,5.612399,28.294186
10.45,0.168738,5.612399,28.294186
10.50,0.168738,5.612399,28.294186
10.55,0.168738,5.612399,28.294186
10.60,0.000000,6.044122,27.098658
10.65,0.000000,6.044122,27.098658
10.70,0.000000,5.828260,28.692696
10.75,0.000000,5.828260,28.692696
10.80,0.000000,6.475844,29.888226
10.85,0.000000,6.475844,29.888226
10.90,0.000000,7.123429,29.091208
10.95,0.000000,7.123429,29.091208
11.00,0.000000,7.339291,27.497168
11.05,0.000000,7.339291,27.497168
11.10,0.000000,7.986875,28.692696
11.15,0.000000,7.986875,28.692696
11.20,0.000000,7.771013,30.286734
11.25,0.000000,7.771013,30.286734
11.30,0.000000,8.418598,31.482264
11.35,0.000000,8.418598,31.482264
11.40,0.000000,9.497906,29.489716
11.45,0.000000,9.497906,29.489716
11.50,0.000000,11.008936,30.286734
11.55,0.000000,11.008936,30.286734
11.60,0.000000,11.440660,31.083755
11.65,0.000000,11.440660,31.083755
11.70,0.000000,12.304105,30.685244
11.75,0.000000,12.304105,30.685244
11.80,0.000000,13.599274,31.083755
11.85,0.000000,13.599274,31.083755
11.90,0.000000,15.110304,31.880774
11.95,0.000000,15.110304,31.880774
12.00,0.000000,14.894443,31.482264
12.05,0.000000,14.894443,31.482264
12.10,0.000000,15.757889,31.083755
12.15,0.000000,15.757889,31.083755
12.20,0.000000,16.621334,30.685244
12.25,0.000000,16.621334,30.685244
12.30,0.000000,17.268919,29.888226
12.35,0.000000,17.268919,29.888226
12.40,0.000000,17.916504,31.083755
12.45,0.000000,17.916504,31.083755
12.50,0.000000,18.564089,32.279285
12.55,0.000000,18.564089,32.279285
12.60,0.000000,20.290979,31.482262
12.65,0.000000,20.290979,31.482262
12.70,0.000000,20.075119,31.083755
12.75,0.000000,20.075119,31.083755
12.80,0.000000,21.586149,31.880774
12.85,0.000000,21.586149,31.880774
12.90,0.000000,21.586149,31.880774
12.95,0.000000,21.586149,31.880774
13.00,0.000000,22.449594,31.482262
13.05,0.000000,22.449594,31.482262
13.10,0.000000,22.449594,31.482262
13.15,0.000000,22.449594,31.482262
13.20,0.000000,23.313042,31.083755
13.25,0.000000,23.313042,31.083755
13.30,0.000000,23.097179,32.677792
13.35,0.000000,23.097179,32.677792
13.40,0.000000,23.960627,30.286736
13.45,0.000000,23.960627,30.286736
13.50,0.000000,24.176487,28.692696
13.55,0.000000,24.176487,28.692696
13.60,0.000000,24.176487,28.692696
13.65,0.000000,24.176487,28.692696
13.70,0.000000,24.176487,28.692696
13.75,0.000000,24.176487,28.692696
13.80,0.000000,24.176487,28.692696
13.85,0.000000,24.176487,28.692696
13.90,0.000000,24.176487,28.692696
13.95,0.000000,24.176487,28.692696
14.00,0.000000,24.176487,28.692696
14.05,0.000000,24.176487,28.692696
14.10,0.000000,24.176487,28.692696
14.15,0.000000,24.176487,28.692696
14.20,0.000000,24.176487,28.692696
14.25,0.000000,24.176487,28.692696
14.30,0.000000,24.392349,27.098658
14.35,0.000000,24.392349,27.098658
14.40,0.000000,23.744764,27.895678
14.45,0.000000,23.744764,27.895678
14.50,0.000000,23.960627,26.301640
14.55,0.000000,23.960627,26.301640
14.60,0.000000,23.744764,25.903128
14.65,0.000000,23.744764,25.903128
14.70,0.337476,22.017872,12.752309
14.75,0.337476,22.017872,12.752309
14.80,4.724662,21.154427,7.173175
14.85,4.724662,21.154427,7.173175
14.90,11.136703,17.484781,4.383606
14.95,11.136703,17.484781,4.383606
15.00,11.642917,10.577213,5.579136
15.05,11.642917,10.577213,5.579136
15.10,11.811655,8.634459,3.985097
15.15,11.811655,8.634459,3.985097
15.20,11.811655,8.634459,3.985097
15.25,11.811655,8.634459,3.985097
15.30,11.811655,8.634459,3.985097
15.35,11.811655,8.634459,3.985097
15.40,11.642917,9.497906,3.586587
15.45,11.642917,9.497906,3.586587
15.50,11.474179,9.282044,5.180626
15.55,11.474179,9.282044,5.180626
15.60,11.474179,9.282044,5.180626
15.65,11.474179,9.282044,5.180626
15.70,11.474179,9.282044,5.180626
15.75,11.474179,9.282044,5.180626
15.80,11.474179,9.282044,5.180626
15.85,11.474179,9.282044,5.180626
15.90,11.474179,9.282044,5.180626
15.95,11.474179,9.282044,5.180626
16.00,12.149130,9.066182,4.782115
16.05,12.149130,9.066182,4.782115
16.10,12.149130,9.066182,4.782115
16.15,12.149130,9.066182,4.782115
16.20,12.149130,9.066182,4.782115
16.25,12.149130,9.066182,4.782115
16.30,12.149130,9.066182,4.782115
16.35,12.149130,9.066182,4.782115
16.40,12.149130,9.066182,4.782115
16.45,12.149130,9.066182,4.782115
16.50,12.149130,9.066182,4.782115
16.55,12.149130,9.066182,4.782115
16.60,12.149130,9.066182,4.782115
16.65,12.149130,9.066182,4.782115
16.70,12.149130,9.066182,4.782115
16.75,12.149130,9.066182,4.782115
16.80,11.474179,9.282044,5.180626
16.85,11.474179,9.282044,5.180626
16.90,11.642917,9.497906,3.586587
16.95,11.642917,9.497906,3.586587
17.00,11.474179,9.282044,5.180626
17.05,11.474179,9.282044,5.180626
17.10,11.474179,9.282044,5.180626
17.15,11.474179,9.282044,5.180626
17.20,11.474179,9.282044,5.180626
17.25,11.474179,9.282044,5.180626
17.30,11.474179,9.282044,5.180626
17.35,11.474179,9.282044,5.180626
17.40,11.474179,9.282044,5.180626
17.45,11.474179,9.282044,5.180626
17.50,11.811655,8.634459,3.985097
17.55,11.811655,8.634459,3.985097
17.60,11.136703,8.850321,4.383606
17.65,11.136703,8.850321,4.383606
17.70,11.136703,8.850321,4.383606
17.75,11.136703,8.850321,4.383606
17.80,11.474179,8.202737,3.188078
17.85,11.474179,8.202737,3.188078
17.90,10.799228,8.418598,3.586587
17.95,10.799228,8.418598,3.586587
18.00,10.799228,8.418598,3.586587
18.05,10.799228,8.418598,3.586587
18.10,10.799228,8.418598,3.586587
18.15,10.799228,8.418598,3.586587
18.20,10.461751,7.986875,2.789567
18.25,10.461751,7.986875,2.789567
18.30,9.955538,7.339291,3.586587
18.35,9.955538,7.339291,3.586587
18.40,9.955538,7.339291,3.586587
18.45,9.955538,7.339291,3.586587
18.50,9.618061,6.907567,2.789567
18.55,9.618061,6.907567,2.789567
18.60,9.618061,6.907567,2.789567
18.65,9.618061,6.907567,2.789567
18.70,9.786800,6.044122,3.188078
18.75,9.786800,6.044122,3.188078
18.80,9.280586,6.475844,1.992548
18.85,9.280586,6.475844,1.992548
18.90,8.943110,6.044122,1.195530
18.95,8.943110,6.044122,1.195530
19.00,8.436896,5.396537,1.992548
19.05,8.436896,5.396537,1.992548
19.10,8.099421,4.964814,1.195529
19.15,8.099421,4.964814,1.195529
19.20,6.749517,5.396537,1.992548
19.25,6.749517,5.396537,1.992548
19.30,6.749517,5.396537,1.992548
19.35,6.749517,5.396537,1.992548
19.40,6.918255,4.533091,2.391058
19.45,6.918255,4.533091,2.391058
19.50,6.412041,4.964814,1.195529
19.55,6.412041,4.964814,1.195529
19.60,6.580779,4.101368,1.594039
19.65,6.580779,4.101368,1.594039
19.70,6.074565,4.533091,0.398509
19.75,6.074565,4.533091,0.398509
19.80,6.243303,3.669645,0.797020
19.85,6.243303,3.669645,0.797020
19.90,5.737090,4.101368,0.000000
19.95,5.737090,4.101368,0.000000
20.00,5.737090,4.101368,0.000000
20.05,5.737090,4.101368,0.000000
20.10,5.905828,3.237922,0.000000
20.15,5.905828,3.237922,0.000000
20.20,5.905828,3.237922,0.000000
20.25,5.905828,3.237922,0.000000
20.30,5.905828,3.237922,0.000000
20.35,5.905828,3.237922,0.000000
20.40,6.580779,3.022061,0.000000
20.45,6.580779,3.022061,0.000000
20.50,6.412041,3.885507,0.000000
20.55,6.412041,3.885507,0.000000
20.60,7.086992,3.669645,0.000000
20.65,7.086992,3.669645,0.000000
20.70,7.086992,3.669645,0.000000
20.75,7.086992,3.669645,0.000000
20.80,7.593206,3.237922,0.000000
20.85,7.593206,3.237922,0.000000
20.90,8.099421,3.885507,0.000000
20.95,8.099421,3.885507,0.000000
21.00,8.099421,3.885507,0.000000
21.05,8.099421,3.885507,0.000000
21.10,8.774372,3.669645,0.000000
21.15,8.774372,3.669645,0.000000
21.20,8.774372,3.669645,0.000000
21.25,8.774372,3.669645,0.000000
21.30,9.280586,4.317230,0.000000
21.35,9.280586,4.317230,0.000000
21.40,9.280586,4.317230,0.000000
21.45,9.280586,4.317230,0.000000
21.50,9.786800,3.885507,0.000000
21.55,9.786800,3.885507,0.000000
21.60,9.786800,3.885507,0.000000
21.65,9.786800,3.885507,0.000000
21.70,9.786800,3.885507,0.000000
21.75,9.786800,3.885507,0.000000
21.80,9.786800,3.885507,0.000000
21.85,9.786800,3.885507,0.000000
21.90,10.461751,3.669645,0.000000
21.95,10.461751,3.669645,0.000000
22.00,10.293014,4.533091,0.000000
22.05,10.293014,4.533091,0.000000
22.10,10.967965,4.317230,0.000000
22.15,10.967965,4.317230,0.000000
22.20,11.305441,4.748952,0.000000
22.25,11.305441,4.748952,0.000000
22.30,12.655344,4.317230,0.000000
22.35,12.655344,4.317230,0.000000
22.40,12.655344,4.317230,0.000000
22.45,12.655344,4.317230,0.000000
22.50,12.655344,4.317230,0.000000
22.55,12.655344,4.317230,0.000000
22.60,12.655344,4.317230,0.000000
22.65,12.655344,4.317230,0.000000
22.70,12.655344,4.317230,0.000000
22.75,12.655344,4.317230,0.000000
22.80,12.655344,4.317230,0.000000
22.85,12.655344,4.317230,0.000000
22.90,12.655344,4.317230,0.000000
22.95,12.655344,4.317230,0.000000
23.00,12.317869,3.885507,0.000000
23.05,12.317869,3.885507,0.000000
23.10,12.317869,3.885507,0.000000
23.15,12.317869,3.885507,0.000000
23.20,11.642917,4.101368,0.000000
23.25,11.642917,4.101368,0.000000
23.30,10.461751,3.669645,0.000000
23.35,10.461751,3.669645,0.000000
23.40,10.124275,3.237922,0.000000
23.45,10.124275,3.237922,0.000000
23.50,9.449324,3.453784,0.000000
23.55,9.449324,3.453784,0.000000
23.60,8.774372,3.669645,0.000000
23.65,8.774372,3.669645,0.000000
23.70,8.774372,3.669645,0.000000
23.75,8.774372,3.669645,0.000000
23.80,8.099421,3.885507,0.000000
23.85,8.099421,3.885507,0.000000
23.90,8.099421,3.885507,0.000000
23.95,8.099421,3.885507,0.000000
24.00,8.268159,3.022061,0.000000
24.05,8.268159,3.022061,0.000000
24.10,7.761944,3.453784,0.000000
24.15,7.761944,3.453784,0.000000
24.20,7.255731,2.806199,0.000000
24.25,7.255731,2.806199,0.000000
24.30,6.580779,3.022061,0.000000
24.35,6.580779,3.022061,0.000000
24.40,7.255731,2.806199,0.000000
24.45,7.255731,2.806199,0.000000
24.50,7.255731,2.806199,0.000000
24.55,7.255731,2.806199,0.000000
24.60,6.580779,3.022061,0.000000
24.65,6.580779,3.022061,0.000000
24.70,6.580779,3.022061,0.000000
24.75,6.580779,3.022061,0.000000
24.80,6.243303,2.590338,0.000000
24.85,6.243303,2.590338,0.000000
24.90,6.580779,3.022061,0.000000
24.95,6.580779,3.022061,0.000000
25.00,6.580779,3.022061,0.000000
25.05,6.580779,3.022061,0.000000
25.10,5.905828,3.237922,0.000000
25.15,5.905828,3.237922,0.000000
25.20,6.074565,3.453784,0.000000
25.25,6.074565,3.453784,0.000000
25.30,6.074565,3.453784,0.000000
25.35,6.074565,3.453784,0.000000
25.40,6.074565,3.453784,0.000000
25.45,6.074565,3.453784,0.000000
25.50,6.074565,3.453784,0.000000
25.55,6.074565,3.453784,0.000000
25.60,6.243303,2.590338,0.000000
25.65,6.243303,2.590338,0.000000
25.70,6.243303,2.590338,0.000000
25.75,6.243303,2.590338,0.000000
25.80,6.243303,2.590338,0.000000
25.85,6.243303,2.590338,0.000000
25.90,6.243303,2.590338,0.000000
25.95,6.243303,2.590338,0.000000
26.00,6.243303,2.590338,0.000000
26.05,6.243303,2.590338,0.000000
26.10,5.905828,0.000000,0.000000
26.15,5.905828,0.000000,0.000000
26.20,5.905828,0.000000,0.000000
26.25,5.905828,0.000000,0.000000
26.30,6.074565,0.000000,0.000000
26.35,6.074565,0.000000,0.000000
26.40,6.074565,0.000000,0.000000
26.45,6.074565,0.000000,0.000000
26.50,6.074565,0.000000,0.000000
26.55,6.074565,0.000000,0.000000
26.60,6.074565,0.000000,0.000000
26.65,6.074565,0.000000,0.000000
26.70,6.074565,0.000000,0.000000
26.75,6.074565,0.000000,0.000000
26.80,6.074565,0.000000,0.000000
26.85,6.074565,0.000000,0.000000
26.90,6.074565,0.000000,0.000000
26.95,6.074565,0.000000,0.000000
27.00,6.074565,0.000000,0.000000
27.05,6.074565,0.000000,0.000000
27.10,6.074565,0.000000,0.000000
27.15,6.074565,0.000000,0.000000
27.20,6.074565,0.000000,0.000000
27.25,6.074565,0.000000,0.000000
27.30,6.074565,0.000000,0.000000
27.35,6.074565,0.000000,0.000000
27.40,6.074565,0.000000,0.000000
27.45,6.074565,0.000000,0.000000
27.50,6.074565,0.000000,0.000000
27.55,6.074565,0.000000,0.000000
27.60,6.074565,0.000000,0.000000
27.65,6.074565,0.000000,0.000000
27.70,6.074565,0.000000,0.000000
27.75,6.074565,0.000000,0.000000
27.80,6.074565,0.000000,0.000000
27.85,6.074565,0.000000,0.000000
27.90,6.074565,0.000000,0.000000
27.95,6.074565,0.000000,0.000000
28.00,6.074565,0.000000,0.000000
28.05,6.074565,0.000000,0.000000
28.10,5.399614,0.000000,0.000000
28.15,5.399614,0.000000,0.000000
28.20,5.399614,0.000000,0.000000
28.25,5.399614,0.000000,0.000000
28.30,5.399614,0.000000,0.000000
28.35,5.399614,0.000000,0.000000
28.40,5.399614,0.000000,0.000000
28.45,5.399614,0.000000,0.000000
28.50,4.724662,0.000000,0.000000
28.55,4.724662,0.000000,0.000000
28.60,4.724662,0.000000,0.000000
28.65,4.724662,0.000000,0.000000
28.70,4.724662,0.000000,0.000000
28.75,4.724662,0.000000,0.000000
28.80,4.724662,0.000000,0.000000
28.85,4.724662,0.000000,0.000000
28.90,4.724662,0.000000,0.000000
28.95,4.724662,0.000000,0.000000
29.00,4.724662,0.000000,0.000000
29.05,4.724662,0.000000,0.000000
29.10,4.555924,0.000000,0.797020
29.15,4.555924,0.000000,0.797020
29.20,4.555924,0.000000,0.797020
29.25,4.555924,0.000000,0.797020
29.30,4.555924,0.000000,0.797020
29.35,4.555924,0.000000,0.797020
29.40,4.555924,0.000000,0.797020
29.45,4.555924,0.000000,0.797020
29.50,4.555924,0.000000,0.797020
29.55,4.555924,0.000000,0.797020
29.60,4.555924,0.000000,0.797020
29.65,4.555924,0.000000,0.797020
29.70,4.555924,0.000000,0.797020
29.75,4.555924,0.000000,0.797020
29.80,4.555924,0.000000,0.797020
29.85,4.555924,0.000000,0.797020
29.90,4.387186,0.215862,0.398510
29.95,4.387186,0.215862,0.398510
30.00,3.712234,0.431723,0.797020
30.05,3.712234,0.431723,0.797020
30.10,3.712234,0.431723,0.797020
30.15,3.712234,0.431723,0.797020
30.20,3.712234,0.431723,0.797020
30.25,3.712234,0.431723,0.797020
30.30,3.712234,0.431723,0.797020
30.35,3.712234,0.431723,0.797020
30.40,3.037282,0.647584,1.195529
30.45,3.037282,0.647584,1.195529
30.50,3.037282,0.647584,1.195529
30.55,3.037282,0.647584,1.195529
30.60,2.362331,0.863446,1.594039
30.65,2.362331,0.863446,1.594039
30.70,2.531069,0.000000,1.992548
30.75,2.531069,0.000000,1.992548
30.80,1.856117,0.215862,2.391058
30.85,1.856117,0.215862,2.391058
30.90,2.024855,0.431723,0.797019
30.95,2.024855,0.431723,0.797019
31.00,1.349903,0.647584,1.195529
31.05,1.349903,0.647584,1.195529
31.10,0.843690,1.079307,0.000000
31.15,0.843690,1.079307,0.000000
31.20,1.012428,0.215861,0.398510
31.25,1.012428,0.215861,0.398510
31.30,0.337476,0.431723,0.797019
31.35,0.337476,0.431723,0.797019
31.40,0.506214,0.647584,0.000000
